SampleID,Leaf_Status,ASV_4_Unidentified Vallitaleaceae,ASV_6_Marinobacter,ASV_9_Vibrio,ASV_3_Sulfurovum,ASV_5_Fusibacter_B,ASV_42_Vibrio,ASV_25_Vibrio,ASV_38_Pseudoalteromonas,ASV_1_Pseudoalteromonas,ASV_12_Ilumatobacter,ASV_8_Robertkochia,ASV_15_Flavobacterium,ASV_20_Unidentified Rhodobacteraceae,ASV_17_Marinomonas,ASV_32_Unidentified Gammaproteobacteria,ASV_31_Unidentified Nitrincolaceae,ASV_146_Methylotenera,ASV_155_Methylophaga,ASV_58_Unidentified Rhodobacteraceae,ASV_45_Tamlana_B,ASV_51_Kordia,ASV_23_Tepidibacter_A,ASV_56_Maribacter,ASV_50_Vibrio,ASV_62_Granulosicoccus,ASV_60_RFSX01,ASV_176_Sulfurovum,ASV_27_Unidentified Peptostreptococcales,ASV_175_Vibrio,ASV_190_UBA4421,ASV_319_GCA-2862085,ASV_85_Pseudomaricurvus,ASV_332_GCA-2748055,ASV_36_Marinomonas,ASV_61_Neptuniibacter,ASV_98_Unidentified Marinilabiliaceae,ASV_110_Aureibaculum,ASV_408_Roseibium,ASV_73_41-12-T18,ASV_361_Hyphomonas,ASV_411_Methylotenera,ASV_80_Unidentified Gammaproteobacteria,ASV_129_Rhodobacteraceae,ASV_35_UBA1844,ASV_436_Shewanella,ASV_16_Unidentified Rhodobacteraceae,ASV_75_Cellulophaga,ASV_112_Unidentified Rhodobacteraceae,ASV_24_Cochleicola,ASV_306_Unidentified Saprospiraceae,ASV_286_Kordia,ASV_63_Oceanispirochaeta,ASV_461_41-12-T18,ASV_30_Xanthomarina,ASV_96_Neptunomonas,ASV_33_Unidentified Gammaproteobacteria,ASV_115_Marinomonas,ASV_580_Pseudoalteromonas,ASV_530_Aliiroseovarius,ASV_251_Marinoscillum,ASV_637_Reinekea,ASV_47_Flavobacterium,ASV_104_Unidentified Alteromonadaceae,ASV_209_Unidentified Rhodobacteraceae,ASV_451_Desulfobulbus_A,ASV_289_Reinekea,ASV_82_Unidentified Rhodocyclaceae,ASV_597_Unidentified Methylophagaceae,ASV_279_Flavobacteriaceae,ASV_378_Marinomonas,ASV_528_Ancylomarina,ASV_65_Marinomonas,ASV_274_Hydrogenophaga,ASV_123_Agaribacterium,ASV_194_Hyphomonas,ASV_230_Unidentified Rhodobacteraceae,ASV_577_Dokdonia,ASV_280_Arctic95D-9,ASV_291_Unidentified Rhodobacteraceae,ASV_393_Unidentified Gammaproteobacteria,ASV_261_Unidentified Rhodospirillaceae,ASV_44_Halodesulfovibrio,ASV_636_Arenicella,ASV_338_Unidentified Peptostreptococcales,ASV_444_Robiginitomaculum,ASV_161_Ancylomarina,ASV_171_Brumimicrobium,ASV_69_Methylotenera,ASV_89_Planktotalea,ASV_456_Aureibaculum,ASV_511_Olleya,ASV_983_Unidentified Gammaproteobacteria,ASV_464_Unidentified Rhodobacteraceae,ASV_469_Amphritea,ASV_1026_Agaribacterium,ASV_403_Unidentified Rhodobacteraceae,ASV_309_Unidentified Gammaproteobacteria,ASV_165_Unidentified Clostridiaceae,ASV_815_Unidentified Flavobacteriales,ASV_1108_Unidentified Rhodobacteraceae,ASV_778_Alteraurantiacibacter,ASV_174_Marinibacterium,ASV_1164_Rhodoferax_B,ASV_113_41T-STBD-0c-01a,ASV_201_PCC-7375
H1,Healthy,320,1359,90,53559,43343,264,8990,4175,28725,18,283,10265,0,0,7434,86,57,39,8204,0,0,245,28,2356,209,0,1408,70,1674,984,13,14,56,28,21,0,6489,0,1634,90,445,0,0,0,140,35,6713,80,372,614,595,854,114,572,0,648,1219,35,0,2105,0,0,48,1900,429,726,4950,499,457,670,869,0,0,171,0,0,328,0,0,520,4537,156,111,0,1219,66,94,3023,1428,278,660,0,0,402,0,805,2885,0,425,77,290,1405,0,0,928
H2,Healthy,752,171,83,1586,218,28,455,556,1930,15,3,42,69,35,79,30,0,7,84,6,67,59,3,28,58,12,37,30,21,181,0,82,8,452,0,2,14,0,15,31,0,210,0,0,0,6,45,28,466,3,93,330,7,1642,7,1379,5,8,0,10,0,1,14,7,57,122,82,2,10,3,8,7,0,0,3,0,30,158,26,133,0,235,8,42,36,0,25,161,666,4,3,0,0,4,0,10,7,0,25,0,0,14,0,0,9
H3,Healthy,224,800,97,1521,7879,55,148,131,1383,73,28,3459,32,38,233,23,0,0,153,17,16,27,48,0,45,17,151,83,66,7,0,17,0,73,57,0,105,0,263,2,0,6,0,0,12,25,1001,24,708,211,75,495,0,641,0,734,87,0,72,110,6,10,18,461,0,33,128,2,449,238,24,30,6,65,10,0,15,0,5,42,0,373,36,5,5,8,63,156,621,220,13,0,0,20,7,172,144,9,0,4,0,843,0,8,368
H4,Healthy,3863,2635,403,1967,735,56480,33283,36156,1370,886,412,17220,175,199,19083,90,23619,23282,12347,0,114,474,152,0,299,465,10371,256,10996,11072,12106,0,11859,0,28,204,1052,10115,2597,9285,8589,47,0,0,8589,95,0,7854,555,7119,7043,0,7077,322,0,294,4659,6441,6423,2370,6460,62,839,3702,4437,4811,0,5086,3944,4152,3744,242,90,0,0,0,4242,0,62,3844,0,0,4309,123,3052,0,66,194,327,3124,3086,3735,0,867,3332,2171,180,0,2560,2891,2659,678,2815,0,1024
H5,Healthy,0,1003,0,1619,180,0,534,223,1426,0,15,845,0,0,416,0,0,0,326,0,0,0,0,0,0,0,168,0,371,526,343,0,0,0,0,0,298,0,0,456,0,0,0,0,0,0,0,0,456,0,0,0,0,2008,0,2314,78,175,0,58,0,13,105,0,712,73,281,0,371,0,10,0,0,0,0,0,25,0,0,0,0,223,0,0,0,0,0,221,734,65,0,0,0,0,0,0,0,0,0,0,0,0,110,0,0
U1,Unhealthy,13169,15439,3401,560,47,0,0,0,719,24048,8635,0,19690,9539,0,816,0,0,0,9401,1196,10769,10938,472,852,477,0,3615,0,0,0,1063,0,607,4915,8277,0,0,354,0,0,2093,2108,112,0,521,0,0,367,0,0,216,0,579,3917,162,0,0,0,0,0,0,1738,0,18,0,180,0,0,0,0,89,354,1790,2132,691,0,107,404,0,0,0,0,529,0,0,2111,0,52,0,0,0,0,0,0,0,0,305,0,0,0,0,0,167,16
U2,Unhealthy,126266,22234,47954,2373,1097,133,0,0,472,420,2317,2301,4316,9441,0,16704,0,0,0,3506,1958,0,866,6473,4833,8160,1030,113,0,0,0,861,0,431,892,103,1230,0,1025,0,0,1353,4157,3408,0,0,0,51,92,0,0,1035,0,354,518,251,92,0,0,712,0,2947,1440,92,123,0,0,0,0,0,256,3045,3111,841,308,3316,0,0,328,0,0,0,0,415,0,2460,159,0,0,62,0,0,1697,1097,0,72,0,154,0,0,0,0,0,359,87
U3,Unhealthy,1815,8391,3181,849,146,8,0,0,1109,5794,6807,37,1015,2120,5,1025,53,0,0,299,774,4966,730,559,1425,621,26,3328,0,16,0,0,0,926,905,1203,47,0,421,0,0,147,494,6,0,1781,0,7,425,8,0,1074,0,500,1890,332,397,0,0,120,0,25,711,0,0,0,74,0,0,0,0,305,222,362,401,56,0,14,179,0,0,99,0,0,0,0,334,103,62,2,0,0,140,18,0,40,38,1105,0,0,0,0,0,461,215
U4,Unhealthy,87408,28356,13234,1941,4512,0,0,0,501,3726,5349,479,8095,5449,11,4748,0,0,0,4289,14474,0,3401,5262,6508,3210,236,4200,0,0,0,9297,0,8580,3368,857,908,0,3726,0,0,4643,1667,0,0,214,403,38,381,0,0,3397,0,162,588,267,287,0,0,973,0,67,1226,0,0,0,0,0,0,0,91,726,690,410,1420,0,0,4311,3470,0,0,207,0,3301,71,165,568,0,0,18,0,0,1743,962,0,0,0,1587,0,0,0,0,0,677,243
U5,Unhealthy,2560,3625,4206,732,0,32,21,15,897,549,10978,47,1117,1748,17,2013,14,0,23,1617,131,306,335,404,492,750,37,1594,10,0,0,1022,16,841,1494,123,47,0,55,0,0,427,419,5269,0,6025,0,40,4231,0,4,146,3,397,58,569,0,0,0,17,0,3256,148,0,0,0,30,3,0,0,0,529,428,1240,582,763,3,6,92,13,0,3185,0,21,0,1576,774,88,0,1,0,0,75,174,0,24,0,43,0,0,0,0,0,1244,0
